"IATA","Airport Name","City Name","Country Name","Population"
"CMF","Chambery/Aix-Les-Bains","Chambery/Aix-Les-Bains","France","Missing[""NotAvailable""]"
"CMR","Colmar","Colmar","France",65500
"CNL","Sindal","Sindal","Denmark",3097
"CNP","Neerlerit Inaat","Neerlerit Inaat","Greenland","Missing[""NotAvailable""]"
"COL","Coll","Coll","United Kingdom","Missing[""NotAvailable""]"
"CPH","Copenhagen Kastrup Apt","Copenhagen","Denmark",528208
"CQF","Calais/Dunkerque","Calais/Dunkerque","France","Missing[""NotAvailable""]"
"CQM","Ciudad Real","Ciudad Real","Spain",70124
"CRL","Brussels South Airport","Brussels","Belgium",1114042
"CRL","Brussels S. Charleroi Airport","Brussels","Belgium",1114042
